url,title,description,duration,adaptive_support,remote_support,test_type,combined_text,embedding_dim
https://www.shl.com/products/product-catalog/view/english-comprehension-new/,English Comprehension (New),We recommend upgrading to a modern browser.,0,No,Yes,"Personality & Behavior, Knowledge & Skills","English Comprehension (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,Drupal (New),We recommend upgrading to a modern browser.,17,No,Yes,"Personality & Behavior, Knowledge & Skills","Drupal (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,Written English v1,We recommend upgrading to a modern browser.,30,No,Yes,"Personality & Behavior, Knowledge & Skills","Written English v1 We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Occupational Personality Questionnaire OPQ32r,We recommend upgrading to a modern browser.,25,No,Yes,"Personality & Behavior, Knowledge & Skills","Occupational Personality Questionnaire OPQ32r We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,Search Engine Optimization (New),We recommend upgrading to a modern browser.,12,No,Yes,"Personality & Behavior, Knowledge & Skills","Search Engine Optimization (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,Automata Selenium,We recommend upgrading to a modern browser.,60,No,Yes,"Personality & Behavior, Knowledge & Skills","Automata Selenium We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,Professional + 7.1 (International),We recommend upgrading to a modern browser.,56,No,Yes,"Personality & Behavior, Knowledge & Skills","Professional + 7.1 (International) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,JavaScript (New),We recommend upgrading to a modern browser.,9,No,Yes,"Personality & Behavior, Knowledge & Skills","JavaScript (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,HTML/CSS (New),We recommend upgrading to a modern browser.,12,No,Yes,"Personality & Behavior, Knowledge & Skills","HTML/CSS (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/css3-new/,CSS3 (New),We recommend upgrading to a modern browser.,8,No,Yes,"Personality & Behavior, Knowledge & Skills","CSS3 (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,Selenium (New),We recommend upgrading to a modern browser.,10,No,Yes,"Personality & Behavior, Knowledge & Skills","Selenium (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,SQL Server (New),We recommend upgrading to a modern browser.,11,No,Yes,"Personality & Behavior, Knowledge & Skills","SQL Server (New) We recommend upgrading to a modern browser. Personality & Behavior, Knowledge & Skills",3072
